Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Spirit Breaker,0.14952257,-0.06885134,0.0710917,0.8196366,-0.25908566,-0.17982833,0.50677705,0.5216319,-0.17088033,-0.4070194,0.33357206,-0.14113703,0.22875254,0.03795602,0.23350628,-0.14732179,-0.33374807,-0.20523156,0.82074976,0.846105,0.4092966,-0.56261486,0.098932505,0.9801617,0.15210879,0.018478418,0.009140036,-0.007862941,0.5751362,-0.25344527
Gyrocopter,0.47107503,-0.9947318,-0.28510597,-0.84023744,-0.6437703,-0.31605867,-0.6980659,0.0719343,-0.1998347,0.22536723,-0.62304705,1.346222,0.17175125,0.08210632,-0.6878632,-0.5535027,-0.7384069,0.17629865,-0.47736353,0.6043753,-0.39562705,-0.25778508,-0.43060824,0.96163315,0.75572544,0.09758586,0.88525194,-0.26487696,0.03643278,-0.6718177
Alchemist,0.11982416,0.09173536,0.32467625,-0.07140635,0.20813923,-0.18752141,-0.39969042,-0.38556314,-0.08914421,-1.1487722,0.349089,0.42607352,0.5412505,-0.5621628,-0.47003883,-0.08708275,0.33410925,0.1293728,-0.523994,0.6880351,-0.20741807,0.28520763,-0.1395742,0.06699492,0.3457637,0.019158525,0.35396186,-0.093064204,0.035315715,-0.5830099
Invoker,-0.40976423,0.41101572,0.435189,0.26645708,0.45769295,0.43878275,0.6200977,0.6779228,-0.507131,0.5702394,-0.11762399,0.17971885,-0.033645656,-0.52196556,0.4300515,0.23376836,0.003046978,-0.03171428,-0.5305815,0.7089494,0.2088764,-0.6368724,-0.6294245,0.80936503,-0.16806456,0.10448227,0.16637191,0.20693144,-0.45268187,0.69934684
Silencer,-0.7490422,-0.13449506,0.3288164,0.52495587,0.6157833,-0.47449178,0.5883171,0.20710841,0.26971057,0.8432444,-0.018564144,0.4063249,0.49652374,-0.30457842,-0.35005668,0.8130076,-0.32012302,0.16848284,0.0699843,0.009761681,0.7904609,-0.7703189,-0.51450026,0.5770823,0.2306817,0.23809746,0.4340336,0.10360844,-0.43993267,0.46315464
Outworld Destroyer,-0.43068096,-0.25815293,0.33894655,0.44483396,0.036323983,-0.7014543,0.11717816,0.18121408,-0.72890043,0.03466145,0.3385738,-0.30160102,-0.04079862,-0.06621179,-0.20390494,0.2899899,-0.13300471,-0.51447517,-0.7927018,0.037571173,0.5077463,-0.425892,-0.22964202,0.24821535,-0.15373881,0.7769409,0.39648128,0.2637571,-0.18751082,0.5000542
Lycan,0.15395164,-0.112445004,-0.13271749,-0.18666488,0.78540224,-0.500137,-0.3929876,-0.20257552,0.6166263,-0.8501805,0.60560906,0.22480781,0.5699127,-0.3940755,-0.97882646,0.30155927,0.37161088,-0.028897576,-0.36535087,0.98181564,-0.052027237,0.488148,0.7288291,0.36184356,0.57302266,0.17140141,0.45639926,0.016492343,-0.19090329,-0.8568189
Brewmaster,-0.14896782,0.5478367,0.6687683,0.19915509,-0.27411544,-0.045735225,0.3284225,0.6895097,-0.11431146,-0.33739343,0.2554358,-0.052636936,-0.2100522,-0.52790725,0.028126262,0.0932078,-0.13582917,-0.23420653,0.3340851,0.2382618,-0.19960307,-0.64319474,0.14121108,0.8044418,0.14063756,0.32575193,-0.05271001,0.18327785,-0.09745296,0.15717193
Shadow Demon,-0.05739609,0.24120706,0.7088993,0.22809865,-0.56080407,-0.114397705,0.45415258,0.4285446,-0.13508044,0.4140967,0.3700678,0.026047172,0.8025893,0.27677992,-0.1835761,0.48148456,-0.22077905,-0.27786466,-0.45794204,0.60138786,0.5951833,0.23597883,-0.30040294,0.28274122,0.2107209,-0.55186415,-0.254856,0.6724157,0.14222142,-0.27305177
Lone Druid,0.21438019,-0.4308685,0.1885425,-0.09318325,0.28027302,-0.23398763,-0.49621743,-0.44801328,-0.008580711,-0.15433057,0.53154147,0.017736243,0.5812201,0.107874885,-0.58615965,-0.1871723,0.43436438,0.10282804,-0.3762631,0.10588172,0.20911731,0.20098874,0.4195395,0.087768055,0.5965453,0.37484223,0.26002467,0.007190609,0.18995821,-0.42940393
Chaos Knight,0.19152647,-0.06860803,0.33637518,-0.08139754,0.04154284,0.7036209,0.21339057,0.34122938,0.10095565,0.2708328,0.135941,-0.17671648,-0.34971163,-0.021698704,-0.13900319,0.006391712,-0.28424132,0.5951394,0.43295115,-0.19221148,-0.14631614,-0.7290468,-0.6480177,0.9366112,0.26605883,-0.24305174,0.7513309,-0.7093423,-0.04507108,-0.7323357
Meepo,-0.17039053,-0.38371307,0.4213511,0.37847292,0.13807672,-0.41572013,-0.32113636,-0.28978002,-0.4709773,-0.26819366,0.39284006,0.032362107,0.3976524,-0.095244326,-0.14163549,-0.1263217,0.31558192,-0.18576461,-0.59396434,0.11765853,0.3758447,0.06814797,0.24735607,-0.16327424,0.20885509,0.47633573,0.2266208,0.34820145,0.15672481,-0.12680916
Treant Protector,-0.035187054,0.23431364,0.83326614,0.01350444,0.07316728,0.13018821,0.461853,0.44267362,-0.09534015,0.2803128,0.30870616,-0.44398782,0.602183,0.6681106,0.23711058,0.09025695,0.8400305,0.18768449,0.56693757,0.04475037,-0.024463564,0.29443955,-0.03490105,0.6091329,0.5765228,0.3704762,-0.41709176,0.5954319,0.6705313,0.14204432
Ogre Magi,-0.13956414,0.2553852,0.6989025,-0.022448018,-0.17680982,0.42184073,0.7787933,-0.25043863,0.20091616,0.84663767,0.44326124,-0.23583081,1.3737085,0.75433236,-0.27248466,0.5118375,0.5335151,-0.29936388,0.4064473,-0.032584727,0.12312477,0.048857667,0.061837524,0.42161417,0.4104341,0.6089506,-0.32109684,0.3070707,0.33049542,-0.08894964
Undying,-0.1856282,0.33797306,0.58328813,-0.053225085,-0.18345627,0.4685465,1.3978623,0.5531118,0.21295555,0.5917071,0.27163312,0.04509732,1.3095707,0.3548117,-0.1224232,0.27289617,0.7355267,0.30915105,0.857627,-0.103544176,-0.13820392,-0.006152807,-1.332437,0.70067155,0.44702804,0.29094288,-0.302698,0.2643644,-0.07431317,0.62501836
Rubick,0.17379463,-0.65942746,0.3754358,0.91012895,-0.15690988,-0.6534669,-0.003009811,0.078354746,-0.7726878,0.25476375,0.5379244,-0.3827577,0.23333316,0.4412903,0.28266376,0.3312427,0.46688288,0.6407742,-0.9303655,-0.19984917,1.3143547,0.2540921,-0.36944774,-0.37492895,0.034796987,-0.29900646,-0.08322769,0.7101233,0.010169051,-0.90998423
Disruptor,-0.3946578,-0.2941553,0.3718092,0.12261222,-0.44114494,-0.4390636,0.5787476,0.01941601,-0.14853051,0.961253,-0.038102195,0.08238438,0.9180387,-0.012632871,-0.008198567,0.016256599,-0.08998344,-0.11248774,-0.42969057,-0.28047115,0.10446729,-0.20586626,-0.29651642,0.21798377,-0.08731844,0.809923,0.31209907,0.7259059,0.22526962,0.489259
Nyx Assassin,0.18391111,0.15358838,0.1188063,0.6303887,-0.31436706,0.3967271,0.16122918,-0.18172504,-1.0284547,-0.6192012,0.43824074,-0.08493603,0.31252474,-0.30249608,0.4359171,-0.6067761,-0.83037573,-0.3807873,-0.08176097,1.3995191,0.08659528,-0.49667042,-0.0685732,0.11071785,0.10390554,-0.32674837,0.34050384,0.45689338,0.09234231,-0.28757036
Naga Siren,0.35149142,-0.6944889,-0.050261658,-0.21746045,0.6327554,0.15658039,-0.99396574,-0.7567389,0.1455079,-0.29553044,0.7134817,0.2313337,1.1864777,-0.093483634,-0.6155657,-0.24053945,-0.2795783,0.21344405,0.24698062,0.6443546,0.2782868,0.25877973,0.8101796,-0.02779504,0.8050436,-0.22178163,0.84701693,-0.35447702,0.66187835,-0.6905495
Keeper of the Light,-0.19183144,-0.0603572,0.9572296,-0.33380938,0.5398546,-1.2037815,0.06544178,-0.21541268,1.0518501,-0.012952619,0.76329315,0.08810148,1.1764418,-0.80863535,-0.81160283,0.14636418,-0.2003545,-0.3852683,-0.89100826,0.3139629,-0.09744124,0.78086996,-0.31948665,-0.4662133,0.093596905,0.14347935,-0.37789637,0.9990411,-0.06336848,-0.080530055
Io,-0.7037278,-0.05647656,0.47960678,0.24539497,1.110822,0.8529789,1.0296324,0.40836924,0.82392335,0.44821778,1.1759065,-0.63928056,0.72867566,-1.2237673,-0.56242925,0.5815414,-0.01909484,0.7140252,0.38692793,-0.330653,0.811511,-0.5454396,-0.9587902,-0.7811896,-0.20144655,-0.8649874,0.98814005,0.08383725,-0.7062802,0.094774775
Visage,-0.12978472,-0.036025647,0.33777353,-0.010242879,0.089306295,-0.1293781,-0.004475449,0.21323374,0.011251912,0.48124275,0.35856813,0.01852562,0.23973073,-0.35682216,-0.27001202,0.14076713,-0.08295555,0.20116134,-0.4442749,0.16696091,0.19683464,-0.29788873,-0.22705822,0.37210038,0.17201331,0.042972643,-0.002007512,0.27585757,-0.1301001,-0.09336643
Slark,0.7697776,-1.4747245,-0.55655366,-0.34963393,0.24511129,-0.24386023,-0.5320458,-0.788586,0.09202047,0.15992297,0.32326734,0.27970698,0.73722076,0.1805159,-0.7298105,-0.42575744,-0.5012175,0.2984333,-0.03981181,0.37275052,0.12519117,0.58457375,0.2706579,0.3525691,0.7525737,0.29902393,1.5811033,-0.43753618,0.52031237,-0.54594284
Medusa,-0.6831255,-0.4632899,-0.011209806,-0.90444165,0.15067384,0.60572684,-0.06417184,-0.029114015,0.10091667,0.48371565,-0.02281391,1.0209064,0.28603843,-0.17349759,-0.8148935,0.1533226,-0.4190427,0.6329678,-0.6591105,0.49267873,-0.6404992,-0.4172676,-0.24195994,0.6655243,0.26898557,-0.8077736,1.0677092,-0.83136326,-0.13121617,-1.0394654
Troll Warlord,0.58386314,-0.884766,-0.02545696,-0.6975459,0.35425082,0.31033638,-1.2586753,-0.93179065,-0.017040474,-0.85338575,0.6359382,0.290864,0.7619849,0.31224748,-0.70378774,-0.088775024,0.4184973,0.14020744,-0.22082871,-0.06136689,0.11791496,0.251934,0.33692735,0.12900147,0.772828,0.38584983,1.1285663,-0.61421794,-0.007511647,-0.95778203
Centaur Warrunner,-0.15989648,0.32228193,1.0152626,0.62386423,0.12124578,0.14537667,0.207203,0.18707743,-0.31007114,-0.8129682,0.5130717,-0.6483135,-1.0114102,-0.6242344,0.054880414,-0.70481485,-0.23254073,-0.72751373,0.54182667,-0.403973,-0.4532307,-0.7298761,1.267588,0.4200934,0.16025014,0.8458074,0.054540165,-0.043277554,0.09207836,-0.25049645
Magnus,-0.52154,-0.000396678,0.832376,0.4606449,0.4172989,0.7897126,0.5693107,-0.07238535,-0.6239694,0.7835678,-0.123844504,-0.108450584,-0.5826667,-0.25333852,0.22467208,-0.122319974,-0.3114405,0.06684171,-0.044095192,-0.47125834,-0.37163737,-1.0604098,-0.23659624,0.7024749,-0.40688074,0.76138586,0.61548674,-0.42585307,0.15482344,0.517414
Timbersaw,-0.17193127,0.4217228,0.8681505,0.013969907,-0.44756734,0.16292562,0.06864881,0.41490343,-0.086224444,-0.41973808,0.55710727,-0.2067445,-0.86317086,-0.8222245,-0.059972525,-0.18730302,-0.28099933,-0.12907906,0.17893408,-0.453295,-0.7260819,-1.1292169,0.46687067,0.26095146,0.09923028,0.5993632,0.27054998,0.31597075,-0.59289354,0.104944006
Bristleback,0.039238486,0.10936628,0.27948925,0.30640766,-0.5476434,-0.50712395,-0.71642625,-0.23412669,-0.53497547,-1.0529091,0.14696452,0.685914,-0.36383986,-0.62673473,-0.17321317,-0.55088156,0.0624747,-0.47750756,0.11627213,1.0514562,0.09366595,-0.7035932,0.682724,0.5440649,0.6714422,0.8790173,-0.055448078,0.24634355,-0.31108066,-0.03148713
Tusk,0.2389238,-0.050264407,0.45368108,1.0077575,-0.105312325,-0.41356024,0.7649909,0.3777151,-0.6016484,-0.99152094,0.26898438,-0.18647757,0.1860922,0.027739896,0.26283535,-0.10381994,0.3256816,-0.114233434,0.05737284,0.5669252,0.21079342,0.4850919,-0.17534898,0.24178773,0.080062054,0.000504233,-0.15234113,0.62171274,0.4364195,-0.7006802
Skywrath Mage,0.033635188,-0.5699106,0.39807653,1.0354174,0.42189807,-0.25883988,0.46812782,-0.07638698,-0.7799915,1.2547418,0.46975824,0.02924938,0.32883203,0.11169073,0.19197491,0.06415353,-0.25776085,0.33349827,-1.0282547,0.39221182,0.8978031,-0.28519192,-0.2858987,-0.72135985,-0.24114193,-0.1972917,0.21335715,0.65172446,-0.2161083,-0.16931745
Abaddon,0.110905364,0.1970432,0.20152839,-0.45123512,-0.6045572,0.66021645,0.84818995,0.6248071,0.0742472,0.025876967,0.50051117,-0.10577996,0.5086379,-0.84393156,0.015561633,-0.08049339,-0.4380436,-0.37136215,1.1030142,0.5597641,-0.517155,-0.70030594,-0.2991224,0.72493213,0.46104896,-0.053187974,-0.12578477,0.76020163,0.09525725,0.55974275
Elder Titan,0.17937529,0.21487133,0.5990393,-0.2372462,-0.6376916,0.3084063,1.1831133,0.50687283,-0.090193085,0.4898732,-0.28106278,0.29562438,0.7218635,0.016495991,-0.042274453,0.06381633,0.1151424,0.3813771,0.32658026,0.014770062,-0.4277697,-0.29041135,-1.3524143,0.56896144,0.37706527,0.27400696,-0.18706764,0.3289006,0.104146145,0.20500134
Legion Commander,0.14973728,0.1641199,0.93298876,0.11126709,-0.03210825,-0.1583485,0.15569086,0.4360111,0.14711694,-0.38090298,0.44694132,-0.9160998,-0.47310778,-0.5177612,0.22235921,-0.099234164,0.15142353,-0.5640922,0.7793555,-1.2451878,-0.14465126,-0.8830541,0.94363075,0.7183363,0.19825102,1.1329048,-0.33409512,0.2671105,0.3430833,-0.26198706
Techies,-0.26908115,-0.21834593,0.28064013,0.37808582,0.046963897,-0.21303734,0.26072302,0.48060313,-0.1805522,0.7341061,0.33346266,0.14485116,0.081450194,-0.24039963,0.036807153,0.27532813,-0.508044,-0.003773868,-0.5246271,0.32096282,0.32174996,-0.58799917,-0.27727476,0.39110133,-0.032512024,-0.06271287,0.05782315,0.36400267,-0.13120867,-0.071851455
Ember Spirit,-0.48942,-0.080965474,-0.094715565,0.12603427,0.02094487,-0.09526356,-0.15514578,0.10224351,-0.7364416,-0.47347668,0.6513945,0.15441094,-0.62131053,-0.89654076,-0.110406205,-0.022081578,0.966706,-0.25566107,-0.3569299,0.69052887,0.88807327,-0.4057195,-0.07799402,0.48625237,0.42663231,0.76355535,-0.028977608,-0.18761505,0.13835204,0.6567051
Earth Spirit,0.6137661,0.012772887,0.34916016,1.1466925,0.1795782,0.1914682,0.63496697,0.59616965,-0.766781,-0.73189,0.37039816,0.07266318,0.17213349,-0.09998012,0.73493785,-0.16629364,0.279695,0.050854895,-0.12167582,0.65187085,0.035156827,-0.07702085,-0.502432,0.19978249,-0.13823812,-0.6645458,0.01625578,-0.040192176,0.51414156,-0.77976215
Underlord,0.010783452,0.61405945,1.2292237,0.7085597,0.05636263,-0.10837717,0.12937754,0.3187704,-0.1997919,-0.36050627,0.3178897,-0.5083897,-0.37404674,-0.172188,0.26928172,-0.003455152,0.72033626,-0.12627822,0.2133149,-1.0457503,-0.3312099,-1.045429,0.27239415,0.31303588,-0.041114677,0.8714824,-0.36675683,0.15233025,0.22734785,-0.08461211
Terrorblade,0.42403448,-0.31226376,0.07111583,-0.86028326,0.74590325,0.94756424,-0.52677655,-0.29597023,0.24618961,0.40436164,0.004926154,1.0788883,0.30803373,0.1618147,-0.3576012,-0.07480795,-0.05091267,1.1687989,-0.37266088,0.6138222,-0.9049576,0.023745842,0.15492627,0.66927093,0.45573363,-0.4478869,1.1641175,-0.67632973,0.22306515,-1.1289363
Phoenix,-0.11800551,0.12194687,0.81452864,0.7462467,-0.37307835,-0.024847146,0.24263191,-0.52464384,-0.76217556,0.38688448,0.36936945,0.04467777,-0.15930188,0.14424711,-0.45950276,0.32289886,0.34336194,0.54239535,-0.7853543,0.020996576,0.23696655,0.000828335,-1.2041707,-0.004463758,0.5239941,0.013973868,-0.5790369,0.21217422,-0.49423474,-0.20910758
Oracle,-0.040434804,0.016450064,0.6715218,-0.5907994,-0.56538504,-0.21979862,0.6259702,-0.08610493,0.13401778,0.09832836,0.4026317,-0.17706124,1.68238,-0.7331241,-0.3023392,-0.39388812,0.9150552,-0.2222954,-0.055280786,0.019708965,-0.4657762,0.44889972,-0.8510701,-0.32499653,0.14536142,0.298233,-0.48494348,0.8115408,0.039336666,0.3052146
Winter Wyvern,-0.25354886,-0.102449104,0.55506754,-0.43757528,-0.83066815,0.052017532,0.37521014,0.48818478,-0.1296503,0.61787105,0.049816597,0.4096959,0.8181,-0.34672117,-0.09445746,-0.35340884,-0.48797494,-0.20186037,-0.23874563,0.2184761,0.025559746,-0.2508091,-0.48787194,0.34042302,0.31044802,-0.24721324,0.026654594,0.60969645,-0.09226528,0.40981928
Arc Warden,0.13408086,-0.6249152,0.26667926,-0.3764925,0.5024613,0.682327,0.33930314,-0.04014045,-0.01327237,0.5477479,-0.032611378,0.26879972,0.5137087,0.19079511,-0.06242521,0.051147003,0.3712464,0.7128887,-0.15927245,0.12997665,-0.32308453,0.009034966,-0.39464015,0.1351844,0.22479668,-0.19167915,0.93522185,-0.29014763,0.11697855,-0.8105387
Monkey King,-0.3011836,-0.45109233,-0.12633553,-0.18136351,0.26541278,-0.13014974,-0.36350846,-0.067636706,-0.030265573,-0.25482535,0.39335814,0.33108637,0.58231837,-0.037603106,-0.69480616,0.29922184,-0.21605153,-0.054975614,-0.29011142,0.61365455,0.438873,0.30588108,-0.108266205,0.5823971,0.54262537,0.0847895,1.0007894,-0.29007477,-0.049821757,-0.11010966
Dark Willow,0.118558735,-0.4802109,0.19357353,0.7062983,-0.24580556,0.05717284,0.6140214,0.50648785,-0.6665156,0.35952315,0.39080206,0.034580607,0.2763364,-0.3451229,0.3032049,0.3371614,-0.89057577,-0.18428624,-0.51098365,0.7154558,0.5620346,-0.28301919,-0.577844,0.17555927,-0.25022507,-0.33967203,-0.061588675,0.7336434,-0.30980325,-0.14531781
Pangolier,-0.124632925,0.3594692,0.58823955,0.85282505,0.11334054,-0.3509122,0.41171882,0.5248215,-0.16902986,-1.018475,0.5615584,0.08855042,-0.18143903,-0.6399298,0.08269889,-0.029986877,0.4280083,-0.48716065,0.0477378,0.21250388,0.17460048,-0.30021945,0.7591954,0.5602097,-0.17257021,0.32025012,-0.07629908,-0.13613828,0.15100561,-0.12625942
Grimstroke,-0.5444658,0.045212615,1.2987049,-0.30372316,-0.20548637,-0.38213778,-0.28813726,-0.44903925,-0.15192513,0.51966447,-0.3122776,0.603484,1.2768109,-0.4144205,0.14262003,-0.19551326,-0.20451578,0.09142413,-0.6027052,0.21860237,-0.6124914,0.3776689,-0.69387925,-0.012165018,0.16054085,0.2832588,-0.32565582,1.0933012,-0.18221387,0.17206651
Hoodwink,-0.3325286,0.006181646,-0.21696612,-1.0296379,-0.8323396,0.7117536,0.2724172,1.6575845,-0.18994609,2.0234318,0.906978,-0.103680395,0.03535522,-1.0285245,-0.41061127,0.075075425,-2.2659767,0.22093582,-0.61907077,1.8216861,0.07433931,-1.3268646,-0.85843396,0.876899,0.28875285,-2.2832148,-0.6479327,0.36173695,-0.713989,-0.36672536
Void Spirit,-0.16948597,-0.121143796,0.36977774,0.24997874,0.28754535,-0.3701216,0.32424405,0.5179608,-0.7335382,-0.4230368,0.47162983,0.107105576,-0.2267101,-0.7504525,0.3913654,-0.01554405,0.7033372,-0.0852676,-0.43232414,0.10389652,0.42083743,0.066604845,-0.38341925,0.32674396,0.14809997,0.4945117,0.26145318,-0.38220578,-0.22268134,0.62526584
Snapfire,0.18495056,-1.0235001,0.25606653,-0.06711746,0.27698675,0.50780123,0.73549736,0.40128657,-0.3992482,1.3613838,-0.009303112,0.20063838,0.46807483,-0.5906875,0.17417166,0.3332266,0.76780003,-0.1360983,-0.91510415,-0.15449478,0.047302186,-0.7204383,-0.47101718,-0.16584052,-0.6738349,-0.066094756,-0.022150477,0.12817277,0.24538983,-0.10081064
Mars,-0.79260075,0.5655183,1.3919507,-0.10802815,-0.061209053,0.07227671,0.6655747,0.4904111,-0.13137126,-0.63554686,-0.06789395,-0.53472364,-1.2264394,-0.5784767,0.27647665,-0.24133837,-0.33304995,-0.4526068,0.39894944,-0.36700648,-0.15284134,-0.53884584,0.60145324,1.0697274,0.1443532,0.60820454,0.7277669,-0.48635906,-0.04878203,0.10889072
