Heroes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Sniper,-0.039252087000000005,-0.14185727,-0.003265841,0.18133897,-0.011848741999999999,-0.47667876,0.23197976,0.2702381,-0.16110896,-0.32008365,-0.2092047,-0.018762609,0.39903793,0.003307366,-0.23115285,0.3993736,0.21310684,-0.19513527,-0.37149438,-0.03901432,-0.17559627,0.46934018,0.18199375,0.31676550000000003,0.24926881
Necrophos,0.27565807,0.42758019999999997,0.23068094,0.12669352,0.007329916999999999,-0.6659185000000001,0.4683773,0.033773872999999996,-0.40030465,-0.017149419,0.21898703,0.18576309,0.2830843,-0.40265426,-0.087846786,0.73617744,0.21939366,-0.6339994999999999,-0.27948052,-0.41134632,-0.07494852,0.5340067,0.24369071,-0.034754556,0.22881101
Warlock,0.56467795,-0.024397352999999997,0.7799480999999999,-0.14896585,0.026510976000000002,-0.40596282,-0.30338278,1.0801193,-0.8780766999999999,0.15430976,0.32987577,-0.19503132,0.66397774,0.6546759,0.5848892,0.81928194,-0.5397604,-0.15590799,-0.012626587,0.10289368,-0.6423312,-0.50271785,0.15494128,-0.30086428,-0.44434112
Beastmaster,0.38832992,0.7981714,-0.027668922999999998,0.48869628,-0.64429855,-0.45349947,0.71835417,-0.44810134,-0.11179679,0.04042165,0.6831384,0.21180074,0.23368213,-0.44796908,0.22937989,0.9029394000000001,0.64127856,0.061638202999999996,-0.38906634,-0.46575233,0.25080317,1.0725185,0.22703004,-0.15714544,0.31881812
Queen of Pain,-0.36470383,0.06887351,0.2448516,0.04407086599999999,0.23542069,-1.0665258,0.5243547,0.015723247,-0.521107,-0.111621425,-0.51157606,0.26997766,0.61435753,-0.42066279999999995,-0.27783033,0.36071384,-0.033900727,-0.91547745,-0.61536324,-0.05191144,-0.64123744,0.6162262,0.29255506,0.33071724,0.38141096
Venomancer,0.5533939,0.32374638,0.27810767,-0.02793286,-0.018491061,-0.660817,0.33784783,0.21275467,-0.38720417,0.07592718,0.31915802,0.10292084,0.3286513,-0.28080073,-0.011333853,0.81270915,0.16858505,-0.907173,-0.10538641,-0.46734133,-0.13855889999999998,0.19574046,0.28586100000000003,0.10894074,0.19004421
Faceless Void,0.09995807,-0.5706413,0.7686811,-0.044450443,1.0985245000000001,1.4963393,-0.14387672,-0.06911339,0.53498125,-0.713399,-0.5723917,-0.14599359,-0.39796170000000003,-0.024118485,-1.6779706,0.94055146,-0.21600102,0.6755276,0.11290834,-0.7184401999999999,0.5557051,0.47673786,0.46253590000000006,0.5517839,0.58133256
Wraith King,0.5169828,-1.063735,0.31844455,-0.004253548,0.5496536999999999,1.5891665000000001,-0.08022725,-0.60658884,0.335937,-0.37876704,-1.1050293,-0.5353894,0.30000204,0.18771453,-1.2714603,0.936148,0.5815047,1.0227407,0.36098352,-0.14815398,0.6325426,0.4599376,0.15174752,0.7363122,0.41621175
Death Prophet,0.14726119,-0.019511655,-0.14906617,0.27493048,-0.27778724,-0.8631553,0.43422040000000006,-0.20145367,-0.35182112,-0.10479827,-0.34998393,0.13041641,0.83601916,-0.06897955,-0.000387552,0.46648636,0.3383939,-0.6399831,-0.4387655,0.10469615,-0.25302893,0.6501746,0.11624668,0.38195450000000003,0.015863635
Phantom Assassin,0.536049,-1.1030712999999999,0.96786815,-0.010368289000000001,0.94483966,1.4516323999999998,0.0686534,0.024323756000000002,0.8871621,-0.6013653,-1.0187423,-0.5430731,-0.18362196,0.025564233,-1.6708233000000001,0.7689951999999999,-0.014439893999999998,0.40990546,0.43214044,-0.34957448,0.5147718,0.47562784,0.46147543,0.8341713,0.47589493
Pugna,-0.118369065,0.20445898,0.30025830000000003,-0.13000810000000002,0.052933022,-0.7486041,0.5581253,0.08443329,-0.40427804,-0.018237628,-0.053660505,0.3048396,0.50476956,-0.43189615,-0.15906169,0.5855821,0.094939366,-0.80514646,-0.3537706,-0.18235488,-0.43369296,0.40489984,0.24908654,0.19113870000000002,0.38309515
Templar Assassin,-0.6825856,-0.621648,-0.3295721,0.5794956,-0.06760519,-0.5771082,-0.0427352,0.07493462,-0.24717551,-0.5718906,-0.49354184,-0.21803044,0.6323666,-0.078288704,-0.33554932,0.24455339,0.2708693,-0.07219612,-0.6501276,0.12445618,-0.36104354,0.7364212,0.09727464,0.3450513,0.30006436
Viper,0.32271108,0.039911278,-0.1516647,0.4281313,-0.06058234,-0.85900986,0.17094934,0.27129725,-0.14435108,-0.35653847,0.12364475400000001,-0.09865977,0.33988154,-0.18038371,0.03234047,0.53054273,0.33780578,-0.67683536,-0.36772776,-0.21639396,-0.17913793,0.5637935000000001,0.114507854,0.2563859,0.096167825
Luna,-0.081098005,-1.3401573999999998,-0.120410234,0.60454917,0.11258957,1.3060988000000002,-0.49242657,0.030592665,0.38571292,-0.98192745,-0.7604131,-0.5985793,0.497503,0.059896477000000004,-1.3278285,0.6672223,0.5990165,0.74879616,0.15643117,-0.18077439,0.60522693,0.024164893,0.13915755,0.8016382,0.31046018
Dragon Knight,-0.07983912,0.53809464,-0.5955954000000001,0.48367354,-0.3156718,-0.44960022,0.09225934,-0.17872998,-0.27898592,-0.47879177,0.31450054,-0.12789536,0.106350295,-0.023597537000000002,0.16309996,0.6928449000000001,0.61887807,0.64722854,-0.48422092,-0.28654668,0.17964326,1.0033181999999998,0.050992235999999996,0.25958556,0.18842672
Dazzle,0.17854217,0.001720867,0.22708187,-0.051199548,-0.12827824,-0.45325592,0.24355206,0.5023789000000001,-0.44940266,-0.040578897999999995,0.060745235999999994,0.054649542999999995,0.49354154,0.20454160000000002,0.15571117,0.4610068,0.21636818,-0.15886411,-0.07265014,0.00130942,-0.2992114,-0.025397416000000003,0.21691759,0.15292072,0.21565363
Clockwerk,-0.27574465,0.46195105,0.50662464,-0.5613507,-0.2183935,-0.29227653,0.057573225,0.72935647,-0.7205057,-0.31084323,0.08035771,0.64156175,-0.23945087,0.5385951999999999,0.45727825,0.32954463,0.08858411,1.1097763,-0.24382506,-0.1981571,-0.3279287,-0.06046694,0.00275057,-0.15912747,0.40495884
Leshrac,-0.44201654,-0.2324995,-0.18712089999999998,0.41669962,-0.11462122,-0.98727626,0.26695198,0.12300301,-0.21331309,-0.4224568,-0.30689558,0.19906089,0.7853214,-0.3567805,-0.42547783,0.25936142,0.26104414,-0.660399,-0.6184691999999999,0.11540948599999999,-0.28489754,0.7286238,0.15369174,0.4167479,0.1387075
Nature's Prophet,0.51409584,-0.057818454000000005,0.38178563,0.14089888,-0.19862774,-0.33113974,0.5658766,-0.09387665,-0.22054195,0.19608578,0.3532817,0.11468494,0.5669009,-0.42337290000000005,-0.21074389,0.7809606,0.23851195,-0.80963165,-0.051010106,-0.4261508,-0.23643753,0.32215127,0.2897937,0.019818608,0.20649126
Lifestealer,0.33770084,-0.8837200000000001,0.7936327,0.023933012000000004,0.8371832,1.4375528,-0.056520738,-0.114965364,0.64321893,-0.7544288,-0.77182895,-0.41646096,-0.030677587000000003,-0.13844478,-1.583065,0.9022819,0.034123987,0.50925803,0.30785295,-0.45027182,0.6031008000000001,0.42342162,0.33331773,0.56208974,0.43519256
Dark Seer,1.1180268999999998,0.5266456,-0.42592052,0.12416955,-0.08031603,-0.74374175,0.22331104,-0.18387009,-0.5055351,-0.048093643,0.4812322,-0.31165737,0.64217883,-0.41309184,0.16531032,1.1829408000000001,0.4598627,-1.0603,-0.041694686,-0.18230012,0.21658881,0.44870108,0.015958602,0.51149833,0.05948945
Clinkz,-0.08476581,-0.703174,0.43651518,0.24699788,0.35470262,0.41309413,0.26438773,-0.010078015,0.31404775,-0.48572728,-0.44950622,-0.06526824,0.30048323,-0.23028062,-1.1031343,0.4167821,0.13632627,-0.09299903,-0.16364755,-0.14039996,-0.012407159,0.446664,0.24861628,0.46439043,0.51496524
Omniknight,0.34548962,0.1444839,0.5705646,0.12958688,-0.13346381,-0.5058482,-0.25342742,0.84609437,-0.23187943,-0.024333814,0.37558582,-0.2731057,0.43103969999999997,0.26422740000000006,0.678711,0.7905466,-0.761187,0.1197603,-0.37344903,-0.2651894,-0.057162963,0.32823917,0.28901967,-0.47868666,-0.018032027
Enchantress,0.49885914,-0.17575231,0.57533574,0.0695096,-0.1986291,-0.38691694,-0.6125241,1.1957636,-0.75200087,-0.021135876,0.29051882,-0.07589167,0.717695,0.80030894,0.6807643,0.6002586999999999,-0.3293253,0.11685669,-0.15170118,-0.021111015,-0.63823766,-0.37369365,-0.028756099999999996,-0.34782082,-0.4959263
Huskar,0.049670793,-0.06191903,0.09098277,0.013639483,0.021167595,-0.38432148,0.30692497,-0.033781894,-0.26954222,-0.24576451,-0.36403492,0.13867603,0.33342272,-0.048276484,-0.23917241,0.44139016,0.28491652,-0.118772365,-0.28136536,-0.030959643,-0.09915335,0.42235452,0.22079168,0.40558356,0.25129047
Night Stalker,0.46804562,0.76576424,-0.024410756000000002,0.31385398,-0.44111943,-0.5061669,0.4495973,-0.26296753,-0.11678255,-0.13858443,0.37166533,0.322563,-0.043376878,-0.34472787,0.023874207999999997,0.8534202,0.45696909999999996,0.10759892,-0.33144888,-0.4014957,0.29617178,1.0173226999999998,0.15108745,-0.07207493,0.2856765
Broodmother,0.011039175,0.20064457,-0.5510046,0.46115290000000003,-0.05357595,-0.53875744,0.002045412,-0.1025631,-0.33460096,-0.6070623,0.22198667,-0.44147316,0.1808174,-0.08695059,0.11095798,0.738779,0.66259074,0.17433898,-0.4167746,-0.13073334,0.29424490000000003,0.67951256,0.124028616,0.43636328,0.08294083
Bounty Hunter,0.2092708,-0.020113284,0.22098698,-0.21473128,-0.21635957,-0.2538302,0.19572172,0.29716864,-0.50544363,-0.106795415,-0.15612802,0.11451328,0.3325913,0.2599321,0.22031729,0.46221850000000003,0.3489758,0.20021735,-0.12494100000000001,0.005813866,-0.11136701,0.009820545,0.15668677,0.11029704,0.16410008
Weaver,0.40340322,-0.79655784,0.36658567,0.12777796,0.15666755,0.71042186,0.26603433,-0.020344306,0.24063659,-0.25628477,-0.68542105,-0.17399786,0.53721166,0.12470899999999999,-0.6863064999999999,0.4993741,0.26791766,0.15260114,0.17855443,-0.04672189400000001,-0.010862337,0.20862965,0.16140525,0.44689283,0.29704195
Jakiro,0.42876220000000004,0.041958882999999995,0.8784938,-0.17823988,-0.30827013,-0.20681418,-0.20902307,0.89848095,-0.7611494000000001,0.27714303,0.3907943,0.23946628,0.7379197,0.5161855,0.40726793,0.7466363,-0.47500324,-0.07475525,-0.11079074,-0.21643773,-0.731999,-0.38436809999999993,-0.025132291,-0.54884166,-0.23646125
Batrider,0.10398058,0.25607179999999996,-0.07987916,0.20095544,-0.073384486,-0.9211571,0.23428449,-0.04485064,-0.39504704,-0.21176985,-0.13045393,0.18906489,0.514197,-0.1808608,0.072816685,0.5242600000000001,0.27305546,-0.62137496,-0.49947548,-0.01887566,-0.25402415,0.7338996,0.08107999,0.34664682,0.1793072
Chen,0.32802036,-0.12085604,0.8899982,-0.05042728,-0.23358239,-0.37725073,-0.2681255,0.92392755,-0.59627753,0.22958034,0.41412076,-0.0038049309999999997,0.64017045,0.45279929999999996,0.5866169,0.6498322,-0.41496748,0.031821277,-0.19324572,-0.1912347,-0.6871828000000001,-0.1888681,0.07906446,-0.5726318,-0.1647318
Spectre,0.22051536,-0.8648899999999999,0.87961876,-0.11984877,0.95109624,1.7971401000000002,-0.22550331,-0.16595246,0.6189834,-0.7230398,-0.87516356,-0.15469772,-0.14608732,-0.2830969,-1.8897659,1.0824851999999998,-0.01114362,0.39124677,0.35456544,-0.7943899,0.6811716,0.23921610000000001,0.3077748,0.7675405,0.61853015
Ancient Apparition,0.58229816,-0.5248611999999999,0.2868853,0.10884413,-0.24429387,-0.53890836,-0.83224213,1.1920758,-0.88896304,-0.26244736,0.29059959999999996,-0.50940275,0.99346966,0.8248609,0.8087443,0.7512429,-0.16301155,-0.064178586,0.008936109,0.15902774,-0.46256423,-0.622963,0.15505165,-0.094089545,-0.8567763
Doom,0.22638449,0.7792441999999999,0.23367915,0.19956659,-0.01563917,-0.8390333000000001,0.44649953,-0.18305996,-0.3186511,-0.32930782,0.3898448,0.026494315,-0.16021949,-0.53336763,0.0329,0.8389931,0.38072842,-0.12031603,-0.3398908,-0.35732105,0.06577283,0.8262818000000001,0.19355516,-0.10652047,0.31202486
Ursa,0.57497275,-1.0647316999999998,0.46520713,0.022248677999999997,0.451437,1.3366381999999999,0.06649763,-0.4857723,0.36534336,-0.39289206,-0.8974447,-0.48710945,0.26463845,0.10051151,-1.229155,0.86341083,0.51866984,0.5815130999999999,0.49757120000000005,-0.14571233,0.504464,0.3002692,0.17781262,0.71935904,0.4458197
Spirit Breaker,-0.06599168,0.64878094,0.3778145,-0.63265145,-0.45069593,-0.24989343,0.18216777,0.4717012,-0.5628350000000001,-0.14912544,-0.064343825,0.9009815999999999,0.056223825,0.35159335,0.36225227,0.40687233,0.32110548,0.92229843,-0.19145882,-0.15953147,-0.17041259,0.041462127,-0.021687413,-0.1787579,0.39064085
Gyrocopter,0.27746156,-0.7534890000000001,-0.08007403,0.61187553,-0.45198292,1.3649478000000002,-0.30382612,0.28827843,0.5323294,-0.73436165,-0.9254679,0.4244951,0.7127237,0.30751193,-0.9022268,0.42893687,0.382334,0.49363959999999996,-0.0768081,-0.0935876,0.098058835,0.18831281,-0.3482385,0.5709976999999999,-0.11225472
Alchemist,0.39130282,-0.5586943,0.29378393,0.17587836,0.107658245,0.5136955,0.39818388,-0.4862996,0.16406918,-0.24350221,-0.46112037,-0.22189537,0.3126199,-0.11716496,-0.49449497,0.64632756,0.38563386,0.36111486,0.022886911,-0.16399038,0.27012240000000004,0.5227265,0.25546685,0.3178006,0.42162429999999995
Invoker,-0.7043495,-0.068637565,-0.3081705,0.32251725,-0.04110075,-1.0312282,0.029571808999999998,0.32305858,-0.50500995,-0.6209696,-0.5393621999999999,0.07864455,0.5616717,-0.11142162,-0.16307113,0.20205301,0.08315631,-0.44847852,-0.85522276,0.120842725,-0.49143496,0.6736064,0.22918826,0.5577612,0.1078518
Silencer,0.30390078,-0.0858383,0.48683894,-0.16331227,-0.14477246,-0.46477574,0.041203365,0.82931274,-0.51357734,-0.03316559,0.13200296,0.18057534,0.54164344,0.21258217,0.20375319,0.53138936,-0.21356109999999998,-0.42521152,-0.22680838,-0.09708801,-0.45780950000000004,-0.21551485,0.17461753,-0.053899962,0.032339203999999996
Outworld Destroyer,0.05947774,-0.037075657000000005,-0.039856687,0.20927905,-0.18684815,-0.7945646,0.4617517,0.03638856,-0.29954317,-0.06967206,-0.4081656,0.069036715,0.6530924,0.05178894,0.024780845,0.33064273,0.19228859,-0.49211475,-0.47638488,0.15796016,-0.4228082,0.76035047,0.12551835,0.2565524,0.22288847
Lycan,0.32012758,-0.29876062,0.34463903,0.08563585,-0.16578954,0.24804747,0.23750818,-0.46569609999999995,-0.22287038,-0.030619947,-0.4328178,-0.04802793599999999,0.5912849,-0.09169959,-0.22243355,0.61788774,0.32554108,0.21281323,-0.12603694,0.00891614,-0.07792907,0.47131940000000005,0.028854545,0.17613031,0.30456778
Brewmaster,0.43017089999999997,0.40786007,-0.19626652,0.44579253,-0.5743012,-0.45459434,0.12642477,-0.050388895,-0.3262874,-0.16764790000000002,0.47029750000000003,0.10920896,0.25570694,-0.10929664,0.40002373,0.8217923,0.5736325,0.24329752,-0.34276944,-0.2990667,0.19650997,0.6540664,0.047086595999999994,-0.08772966,0.048234645
Shadow Demon,0.12685712,-0.16992445,0.19606301,-0.05241557,-0.3437686,-0.42059857,-0.06375644,1.1032708,-0.24777865,-0.11467936,0.3071773,0.10787934,0.28102055,0.43957236,0.4494584,0.26754335,0.06750159,0.3842616,-0.07454824,-0.01938397,-0.519411,-0.15720023,0.17201231,0.08669195,0.19175577
